Sample	Phenotype
SE001	0
SE002	1
SE003	0
SE004	1
SE005	0
SE006	0
SE007	0
SE008	0
SE009	0
SE010	0
SE011	1
SE012	0
SE013	0
SE014	1
SE015	1
SE016	1
SE017	1
SE018	0
SE019	0
SE020	1
SE021	0
SE022	1
SE023	1
SE024	0
SE025	0
SE026	1
SE027	0
SE028	1
SE029	1
SE030	0
SE031	1
SE032	0
SE033	0
SE034	1
SE035	0
SE036	0
SE037	1
SE038	0
SE039	1
SE040	0
SE041	1
SE042	0
SE043	0
SE044	0
SE045	1
SE046	1
SE047	1
SE048	1
SE049	1
SE050	0
SE051	0
SE052	1
SE053	1
SE054	1
SE055	1
SE056	1
SE057	0
SE058	1
SE059	1
SE060	0
SE061	1
SE062	1
SE063	0
SE064	1
SE065	0
SE066	0
SE067	1
SE068	0
SE069	1
SE070	1
SE071	0
SE072	1
SE073	0
SE074	1
SE075	0
SE076	0
SE077	0
SE078	1
SE079	1
SE080	1
SE081	0
SE082	0
SE083	1
SE084	1
SE085	0
SE086	0
SE087	1
SE088	0
SE089	1
SE090	1
SE091	1
SE092	1
SE093	0
SE094	1
SE095	1
SE096	0
SE097	1
SE098	0
SE099	0
SE100	0
SE101	1
SE102	1
SE103	0
SE104	0
SE105	0
SE106	0
SE107	0
SE108	1
SE109	1
SE110	1
SE111	1
SE112	0
SE113	0
SE114	1
SE115	1
SE116	1
SE117	1
SE118	0
SE119	1
SE120	0
SE121	1
SE122	0
SE123	0
SE124	0
SE125	0
SE126	0
SE127	1
SE128	0
SE129	0
SE130	0
SE131	0
SE132	1
SE133	0
SE134	0
SE135	1
SE136	0
SE137	0
SE138	1
SE139	0
SE140	1
SE141	1
SE142	1
SE143	1
SE144	1
SE145	1
SE146	1
SE147	1
SE148	0
SE149	1
SE150	1
SE151	1
SE152	0
SE153	1
SE154	0
SE155	1
SE156	0
SE157	1
SE158	0
SE159	0
SE160	1
SE161	1
SE162	1
SE163	1
SE164	0
SE165	1
SE166	1
SE167	1
SE168	0
SE169	0
SE170	1
SE171	0
SE172	0
SE173	1
SE174	0
SE175	0
SE176	0
SE177	0
SE178	0
SE179	0
SE180	1
SE181	0
SE182	0
SE183	0
SE184	1
SE185	1
SE186	1
SE187	1
SE188	0
SE189	1
SE190	0
SE191	1
SE192	0
SE193	0
SE194	0
SE195	0
SE196	1
SE197	1
SE198	0
SE199	0
SE200	1
SE201	0
SE202	0
SE203	0
SE204	0
SE205	0
SE206	0
SE207	0
SE208	1
SE209	1
SE210	0
SE211	1
SE212	0
SE213	1
SE214	1
SE215	0
SE216	1
SE217	0
SE218	1
SE219	1
SE220	1
SE221	1
SE222	0
SE223	0
SE224	0
SE225	1
SE226	1
SE227	0
SE228	1
SE229	1
SE230	1
SE231	1
SE232	1
SE233	1
SE234	1
SE235	0
SE236	0
SE237	0
SE238	1
SE239	0
SE240	0
SE241	0
SE242	1
SE243	1
SE244	0
SE245	0
SE246	0
SE247	0
SE248	0
SE249	0
SE250	0
SE251	0
SE252	0
SE253	1
SE254	0
SE255	0
SE256	0
SE257	1
SE258	1
SE259	1
SE260	0
SE261	0
SE262	0
SE263	0
SE264	0
SE265	1
SE266	1
SE267	1
SE268	1
SE269	1
SE270	0
SE271	1
SE272	0
SE273	0
SE274	0
SE275	0
SE276	1
SE277	1
SE278	1
SE279	1
SE280	1
SE281	1
SE282	0
SE283	0
SE284	1
SE285	1
SE286	1
SE287	0
SE288	1
SE289	0
SE290	0
SE291	0
SE292	1
SE293	1
SE294	0
SE295	0
SE296	1
SE297	1
SE298	0
SE299	0
SE300	1
SE301	0
SE302	0
SE303	1
SE304	0
SE305	0
SE306	0
SE307	1
SE308	0
SE309	0
SE310	0
SE311	0
SE312	1
SE313	0
SE314	0
SE315	0
SE316	0
SE317	1
SE318	1
SE319	1
SE320	0
SE321	0
SE322	1
SE323	0
SE324	1
SE325	1
SE326	1
SE327	0
SE328	0
SE329	1
SE330	1
SE331	1
SE332	1
SE333	1
SE334	0
SE335	0
SE336	1
SE337	1
SE338	0
SE339	0
SE340	0
SE341	0
SE342	1
SE343	1
SE344	1
SE345	1
SE346	0
SE347	1
SE348	0
SE349	0
SE350	0
SE351	0
SE352	0
SE353	0
SE354	1
SE355	1
SE356	0
SE357	0
SE358	0
SE359	0
SE360	0
SE361	1
SE362	0
SE363	1
SE364	1
SE365	1
SE366	0
SE367	1
SE368	0
SE369	0
SE370	0
SE371	0
SE372	0
SE373	1
SE374	1
SE375	0
SE376	1
SE377	1
SE378	0
SE379	1
SE380	0
SE381	1
SE382	0
SE383	1
SE384	0
SE385	1
SE386	0
SE387	1
SE388	0
SE389	1
SE390	1
SE391	0
SE392	0
SE393	1
SE394	0
SE395	0
SE396	1
SE397	1
SE398	1
SE399	0
SE400	1
SE401	0
SE402	0
SE403	1
SE404	0
SE405	0
SE406	1
SE407	0
SE408	1
SE409	1
SE410	1
SE411	0
SE412	0
SE413	1
SE414	1
SE415	0
SE416	1
SE417	1
SE418	1
SE419	0
SE420	0
SE421	1
SE422	1
SE423	0
SE424	0
SE425	0
SE426	0
SE427	1
SE428	0
SE429	1
SE430	1
SE431	1
SE432	1
SE433	0
SE434	0
SE435	1
SE436	0
SE437	1
SE438	0
SE439	0
SE440	0
SE441	0
SE442	0
SE443	0
SE444	0
SE445	1
SE446	1
SE447	0
SE448	1
SE449	0
SE450	0
SE451	0
SE452	0
SE453	0
SE454	0
SE455	1
SE456	0
SE457	0
SE458	0
SE459	0
SE460	0
SE461	0
SE462	1
SE463	1
SE464	0
SE465	0
SE466	0
SE467	1
SE468	0
SE469	1
SE470	0
SE471	0
SE472	0
SE473	1
SE474	0
SE475	1
SE476	0
SE477	1
SE478	1
SE479	0
SE480	0
SE481	0
SE482	1
SE483	1
SE484	1
SE485	1
SE486	1
SE487	0
SE488	0
SE489	0
SE490	0
SE491	0
SE492	1
SE493	0
SE494	0
SE495	1
SE496	1
SE497	1
SE498	1
SE499	0
SE500	0
SE501	0
SE502	0
SE503	1
SE504	0
SE505	0
SE506	1
SE507	0
SE508	0
SE509	1
SE510	0
SE511	0
SE512	1
SE513	1
SE514	0
SE515	1
SE516	1
SE517	1
SE518	0
SE519	1
SE520	1
SE521	1
SE522	1
SE523	1
SE524	1
SE525	1
SE526	0
SE527	0
SE528	1
SE529	0
SE530	0
SE531	1
SE532	0
SE533	1
SE534	1
SE535	1
SE536	0
SE537	1
SE538	0
SE539	0
SE540	1
SE541	0
SE542	1
SE543	1
SE544	0
SE545	1
SE546	0
SE547	1
SE548	0
SE549	1
SE550	1
SE551	0
SE552	0
SE553	1
SE554	0
SE555	0
SE556	1
SE557	0
SE558	0
SE559	1
SE560	1
SE561	0
SE562	1
SE563	1
SE564	1
SE565	1
SE566	0
SE567	1
SE568	0
SE569	1
SE570	0
SE571	1
SE572	1
SE573	0
SE574	0
SE575	1
SE576	0
SE577	1
SE578	1
SE579	1
SE580	0
SE581	0
SE582	1
SE583	0
SE584	1
SE585	1
SE586	0
SE587	1
SE588	1
SE589	0
SE590	1
SE591	0
SE592	1
SE593	0
SE594	0
SE595	0
SE596	1
SE597	1
SE598	0
SE599	1
SE600	1
SE601	1
SE602	0
SE603	0
SE604	1
SE605	0
SE606	0
SE607	0
SE608	0
SE609	1
SE610	0
SE611	1
SE612	1
SE613	1
SE614	0
SE615	0
SE616	1
SE617	0
SE618	0
SE619	0
SE620	1
SE621	1
SE622	0
SE623	0
SE624	1
SE625	0
SE626	1
SE627	1
SE628	0
SE629	1
SE630	1
SE631	0
SE632	1
SE633	1
SE634	0
SE635	1
SE636	0
SE637	1
SE638	1
SE639	0
SE640	1
SE641	1
SE642	0
SE643	0
SE644	0
SE645	0
SE646	0
SE647	1
SE648	0
SE649	1
SE650	1
SE651	1
SE652	0
SE653	1
SE654	1
SE655	1
SE656	0
SE657	1
SE658	0
SE659	0
SE660	0
SE661	0
SE662	1
SE663	1
SE664	0
SE665	0
SE666	1
SE667	0
SE668	1
SE669	1
SE670	1
SE671	1
SE672	1
SE673	1
SE674	1
SE675	1
SE676	1
SE677	1
SE678	0
SE679	0
SE680	0
SE681	1
SE682	NA
SE683	NA
SE684	1
SE685	1
SE686	NA
SE687	NA
SE688	1
SE689	NA
SE690	NA
SE691	NA
SE692	1
SE693	NA
SE694	1
SE695	1
SE696	NA
SE697	1
SE698	1
SE699	NA
SE700	1
SE701	NA
SE702	1
SE703	1
SE704	1
SE705	NA
SE706	NA
SE707	1
SE708	1
SE709	1
SE710	1
SE711	NA
SE712	NA
SE713	NA
SE714	1
SE715	1
SE716	NA
SE717	NA
SE718	NA
SE719	NA
SE720	NA
SE721	NA
SE722	NA
SE723	NA
SE724	NA
SE725	NA
SE726	NA
SE727	NA
SE728	NA
SE729	NA
SE730	NA
SE731	NA
SE732	NA
SE733	NA
SE734	NA
SE735	NA
SE736	NA
SE737	NA
SE738	NA
SE739	NA
SE740	NA
SE741	NA
SE742	NA
SE743	NA
SE744	NA
SE745	NA
SE746	NA
SE747	NA
SE748	NA
SE749	NA
SE750	NA
SE751	NA
SE752	NA
SE753	NA
SE754	NA
SE755	NA
SE756	NA
SE757	NA
SE758	NA
SE759	NA
SE760	NA
SE761	NA
SE762	NA
SE763	NA
SE764	NA
SE765	NA
SE766	NA
SE767	NA
SE768	NA
SE769	NA
SE770	NA
SE771	NA
SE772	NA
SE773	NA
SE774	NA
SE775	NA
SE776	NA
SE777	NA
SE778	NA
SE779	NA
SE780	NA
SE781	NA
SE782	NA
SE783	NA
SE784	NA
SE785	NA
SE786	NA
SE787	NA
SE788	NA
SE789	NA
SE790	NA
SE791	NA
SE792	NA
SE793	NA
SE794	NA
SE795	NA
SE796	NA
SE797	NA
SE798	NA
SE799	NA
SE800	NA
SE801	NA
SE802	NA
SE803	NA
SE804	NA
SE805	NA
SE806	NA
SE807	NA
SE808	NA
SE809	NA
SE810	NA
SE811	NA
SE812	NA
SE813	NA
SE814	NA
SE815	NA
SE816	NA
SE817	NA
SE818	NA
SE819	NA
SE820	NA
SE821	NA
SE822	NA
SE823	NA
SE824	NA
SE825	NA
SE826	NA
SE827	NA
SE828	NA
SE829	NA
SE830	NA
SE831	NA
SE832	NA
SE833	NA
SE834	NA
SE835	NA
SE836	NA
SE837	NA
SE838	NA
SE839	NA
SE840	NA
SE841	NA
SE842	NA
SE843	NA
SE844	NA
SE845	NA
SE846	NA
SE847	NA
SE848	NA
SE849	NA
SE850	NA
SE851	NA
SE852	NA
SE853	NA
SE854	NA
SE855	NA
SE856	NA
SE857	NA
SE858	NA
SE859	NA
SE860	NA
SE861	NA
SE862	NA
SE863	NA
SE864	NA
SE865	NA
SE866	NA
SE867	NA
SE868	NA
SE869	NA
SE870	NA
SE871	NA
SE872	NA
SE873	NA
SE874	NA
SE875	NA
SE876	NA
SE877	NA
SE878	NA
SE879	NA
SE880	NA
SE881	NA
SE882	NA
SE883	NA
SE884	NA
SE885	NA
SE886	NA
SE887	NA
SE888	NA
SE889	NA
SE890	NA
SE891	NA
SE892	NA
SE893	NA
SE894	NA
SE895	NA
SE896	NA
SE897	NA
SE898	NA
SE899	NA
SE900	NA
SE901	NA
SE902	NA
SE903	NA
SE904	NA
SE905	NA
SE906	NA
SE907	NA
SE908	NA
SE909	NA
SE910	NA
SE911	NA
SE912	NA
SE913	NA
SE914	NA
SE915	NA
SE916	NA
SE917	NA
SE918	NA
SE919	NA
SE920	NA
SE921	NA
SE922	NA
SE923	NA
SE924	NA
SE925	NA
SE926	NA
SE927	NA
SE928	NA
SE929	NA
SE930	NA
SE931	NA
SE932	NA
SE933	NA
SE934	NA
SE935	NA
SE936	NA
SE937	NA
SE938	NA
SE939	NA
SE940	NA
SE941	NA
SE942	NA
SE943	NA
SE944	NA
SE945	NA
SE946	NA
SE947	NA
SE948	NA
SE949	NA
SE950	NA
SE951	NA
SE952	NA
SE953	NA
SE954	NA
SE955	NA
SE956	NA
SE957	NA
SE958	NA
SE959	NA
SE960	NA
SE961	NA
SE962	NA
SE963	NA
